index,target,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,guide.started,guide.stopped,fixation.started,fixation.stopped,letter.started,letter.stopped,resp_Letter.keys,resp_Letter.corr,resp_Letter.rt,resp_Letter.started,resp_Letter.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,n,0,1,1,1,,,9.430645699998422,9.930568700001459,9.930568700001459,None,m,0,0.18262310000136495,9.930568700001459,None,,001,2024_Feb_03_0005,main,2021.2.3,59.968900128947524,
0,0,n,0,2,2,2,,,10.13053580000269,10.63058109999838,10.613907099999778,None,n,1,0.20920749999640975,10.613907099999778,None,,001,2024_Feb_03_0005,main,2021.2.3,59.968900128947524,
0.001981409606440776,0,n,0,3,3,3,,,10.847213400003966,11.347223099997791,11.330559000001813,None,m,0,0.24246929999935674,11.330559000001813,None,,001,2024_Feb_03_0005,main,2021.2.3,59.968900128947524,
0.7553492802028269,0,n,0,4,4,4,,,11.597219499999483,12.097252500003378,12.08060370000021,None,n,1,0.17861719999928027,12.08060370000021,None,,001,2024_Feb_03_0005,main,2021.2.3,59.968900128947524,
0.9512648571943241,1,m,0,5,5,5,,,12.28059100000246,12.780581300001359,12.763920600002166,None,m,1,0.23915560000023106,12.763920600002166,None,,001,2024_Feb_03_0005,main,2021.2.3,59.968900128947524,
0.2134870330247115,1,m,0,6,6,6,,,13.03060109999933,13.530703099997481,13.51403730000311,None,n,0,0.16939219999767374,13.51403730000311,None,,001,2024_Feb_03_0005,main,2021.2.3,59.968900128947524,
0.10845393915191315,1,m,0,7,7,7,,,13.714023799999268,14.214025799999945,14.197398500000418,None,m,1,0.19370480000361567,14.197398500000418,None,,001,2024_Feb_03_0005,main,2021.2.3,59.968900128947524,
0.43907100522523446,1,m,0,8,8,8,,,14.414032200002111,14.9143275000024,14.897733300000255,None,m,1,0.1773068999973475,14.897733300000255,None,,001,2024_Feb_03_0005,main,2021.2.3,59.968900128947524,
0.3518610876898747,0,n,0,9,9,9,,,15.097358500002883,15.597351399999752,15.580717700002424,None,n,1,0.2824012999990373,15.580717700002424,None,,001,2024_Feb_03_0005,main,2021.2.3,59.968900128947524,
0.6410238109701539,1,m,0,10,10,10,,,15.880686000004061,16.38078069999756,16.36418080000294,None,m,1,0.14718300000095041,16.36418080000294,None,,001,2024_Feb_03_0005,main,2021.2.3,59.968900128947524,
0.04353889354530027,0,n,0,11,11,11,,,16.530819799998426,17.03077420000045,17.014209900000424,None,m,0,0.14695880000363104,17.014209900000424,None,,001,2024_Feb_03_0005,main,2021.2.3,59.968900128947524,
0.29419527327031003,0,n,0,12,12,12,,,17.18076970000402,17.68078400000377,17.66409630000271,None,m,0,0.09114109999791253,17.66409630000271,None,,001,2024_Feb_03_0005,main,2021.2.3,59.968900128947524,
0.9129133985926111,0,n,0,13,13,13,,,17.780791400000453,18.280778200001805,18.264126499998383,None,m,0,0.24697050000395393,18.264126499998383,None,,001,2024_Feb_03_0005,main,2021.2.3,59.968900128947524,
0.6549133335540842,0,n,0,14,14,14,,,18.530742299997655,19.03085960000317,19.014203099999577,None,m,0,0.07892909999645781,19.014203099999577,None,,001,2024_Feb_03_0005,main,2021.2.3,59.968900128947524,
0.1487718190811983,0,n,0,15,15,15,,,19.1141615000015,19.614270999998553,19.59753610000189,None,m,0,0.1442146000044886,19.59753610000189,None,,001,2024_Feb_03_0005,main,2021.2.3,59.968900128947524,
0.6404397631135144,0,n,0,16,16,16,,,19.78096899999946,20.2808675999986,20.264208699998562,None,m,0,0.21296400000574067,20.264208699998562,None,,001,2024_Feb_03_0005,main,2021.2.3,59.968900128947524,
0.32928222064526247,0,n,0,17,17,17,,,20.497546300000977,20.99764580000192,20.98096970000188,None,m,0,0.348383600001398,20.98096970000188,None,,001,2024_Feb_03_0005,main,2021.2.3,59.968900128947524,
0.5867234930032228,0,n,0,18,18,18,,,21.347542199997406,21.84754370000155,21.830881599998975,None,m,0,0.1604802000001655,21.830881599998975,None,,001,2024_Feb_03_0005,main,2021.2.3,59.968900128947524,
0.04045104275656186,0,n,0,19,19,19,,,22.01417560000118,22.51428190000297,22.497563199998694,None,m,0,0.10767070000292733,22.497563199998694,None,,001,2024_Feb_03_0005,main,2021.2.3,59.968900128947524,
0.4494925854225601,1,m,0,20,20,20,,,22.630899199997657,23.130891200002225,23.114289299999655,None,m,1,0.17900419999932637,23.114289299999655,None,,001,2024_Feb_03_0005,main,2021.2.3,59.968900128947524,
0.34267699739521096,0,n,0,21,21,21,,,23.314253199998348,23.814310599998862,23.79778420000366,None,m,0,0.08266439999715658,23.79778420000366,None,,001,2024_Feb_03_0005,main,2021.2.3,59.968900128947524,
0.10590143364993143,1,m,0,22,22,22,,,23.914256099997147,24.414283500002057,24.397590599997784,None,m,1,0.12779040000168607,24.397590599997784,None,,001,2024_Feb_03_0005,main,2021.2.3,59.968900128947524,
0.29313520573269913,0,n,0,23,23,23,,,24.547610499997973,25.04754050000338,25.030964999998105,None,m,0,0.23238320000382373,25.030964999998105,None,,001,2024_Feb_03_0005,main,2021.2.3,59.968900128947524,
0.8288357386657205,0,n,0,24,24,24,,,25.28089039999759,25.780913900001906,25.764242400000512,None,m,0,0.17500460000155726,25.764242400000512,None,,001,2024_Feb_03_0005,main,2021.2.3,59.968900128947524,
0.6195695797198737,0,n,0,25,25,25,,,25.964265100003104,26.464237200001662,26.447568399999,None,m,0,0.09968710000248393,26.447568399999,None,,001,2024_Feb_03_0005,main,2021.2.3,59.968900128947524,
0.5751796890283638,1,m,0,26,26,26,,,26.564239400002407,27.06428550000419,27.047615700001188,None,m,1,0.18145990000630263,27.047615700001188,None,,001,2024_Feb_03_0005,main,2021.2.3,59.968900128947524,
0.9892790042792996,1,m,0,27,27,27,,,27.247582299998612,27.747584800003096,27.73091530000238,None,m,1,0.06441300000005867,27.73091530000238,None,,001,2024_Feb_03_0005,main,2021.2.3,59.968900128947524,
0.2531254724771844,1,m,0,28,28,28,,,27.814244699999108,28.314303999999538,28.2976004000011,None,m,1,0.10154999999940628,28.2976004000011,None,,001,2024_Feb_03_0005,main,2021.2.3,59.968900128947524,
0.9233911074666465,0,n,0,29,29,29,,,28.43097580000176,28.93093360000057,28.9142589999974,None,m,0,0.040863400005036965,28.9142589999974,None,,001,2024_Feb_03_0005,main,2021.2.3,59.968900128947524,
